song_id,comment_n,comment_len,comment_len_mean,comment_len_stdev,words_clean_unique_n,words_clean_total_n,bsm_n_words,bsm_v_mean,bsm_v_std,bsm_a_mean,bsm_a_std,bsm_d_mean,bsm_d_std,emo_n_words,emo_v_total,emo_v_mean,emo_v_std,emo_a_total,emo_a_mean,emo_a_std,emo_d_total,emo_d_mean,emo_d_std,aff_n_words,aff_anger,aff_fear,aff_sadness,aff_joy,aff_anger_wt,aff_fear_wt,aff_sadness_wt,aff_joy_wt,lex_n_words,lex_joy,lex_trust,lex_anticipation,lex_surprise,lex_positive,lex_negative,lex_sadness,lex_fear,lex_disgust,hssent_n_words,hssent_uniq_avg,hssent_uniq_std,hssent_dupl_avg,anew_n_words,anew_v_total,anew_v_mean,anew_v_std,anew_a_total,anew_a_mean,anew_a_std,anew_d_total,anew_d_mean,anew_d_std,mpqa_n_words,mpqa_pos,mpqa_neu,mpqa_neg,song_valence,song_arousal
3104,1.000000,49.000000,49.000000,0.000000,38,44,23.000000,5.742500,1.791667,4.657083,2.378333,5.806667,2.143333,23.000000,0.563917,0.541542,0.521958,0.563522,0.223557,0.531609,0.229138,0.517739,0.167523,8.000000,0.576000,0.364667,0.208000,0.655000,0.064000,0.121556,0.046222,0.218333,18.000000,0.166667,0.166667,0.111111,0.000000,0.222222,0.111111,0.111111,0.055556,0.000000,51.000000,0.501314,0.850379,0.491000,23.000000,5.742500,4.657083,5.806667,5.788696,1.267368,4.583478,1.299988,5.761739,0.922579,10.000000,0.400000,0.200000,0.400000,-1.040199,-0.065816,
2490,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.056572,0.736206,
598,278.000000,4155.000000,14.946043,16.780188,884,2520,499.000000,6.022935,1.654536,4.197535,2.411537,5.769003,2.116925,547.000000,0.617174,0.462412,0.509028,0.590037,0.224963,0.480038,0.176892,0.518539,0.174239,177.000000,0.540016,0.321136,0.285343,0.581304,0.083494,0.070474,0.049810,0.262384,441.000000,0.123120,0.141917,0.133459,0.055451,0.204887,0.114662,0.052632,0.076128,0.040414,1222.000000,0.267515,1.247107,0.340740,499.000000,6.022935,4.197535,5.769003,5.675391,1.267785,4.240120,0.907596,5.593948,0.895143,214.000000,0.534056,0.260062,0.204334,1.178325,1.183311,
2602,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.919088,-0.632763,
2365,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541257,1.704165,
1635,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-0.341624,0.505740,
3406,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.935250,-0.655810,
2079,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.935250,-0.655810,
2235,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-1.048386,0.335195,
1927,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-1.487725,-0.360813,
278,4.000000,170.000000,42.500000,56.765600,84,103,52.000000,6.187500,1.527344,4.188281,2.434844,5.845625,2.044531,55.000000,0.645090,0.438388,0.509403,0.633855,0.173702,0.438109,0.155192,0.508836,0.129827,14.000000,0.453000,0.250200,0.273500,0.473500,0.028312,0.078187,0.034188,0.236750,30.000000,0.093750,0.125000,0.250000,0.031250,0.156250,0.093750,0.062500,0.093750,0.062500,140.000000,0.140921,1.278587,0.178247,52.000000,6.187500,4.188281,5.845625,6.056731,1.069029,4.155577,0.730494,5.755192,0.795989,24.000000,0.629630,0.185185,0.185185,0.079523,-0.635836,
3109,2.000000,877.000000,438.500000,596.091017,402,560,264.000000,5.230777,1.629896,4.364067,2.356736,5.359585,2.153938,286.000000,0.532078,0.520029,0.533632,0.555762,0.224999,0.504329,0.190458,0.540409,0.168782,86.000000,0.622172,0.673964,0.701100,0.476684,0.125299,0.262097,0.194750,0.062896,239.000000,0.028721,0.046997,0.093995,0.052219,0.130548,0.201044,0.104439,0.138381,0.127937,498.000000,0.118243,1.260029,0.036635,264.000000,5.230777,4.364067,5.359585,5.353371,1.326326,4.258561,0.909784,5.442803,0.950897,102.000000,0.266667,0.162963,0.570370,1.071901,0.846830,
434,44.000000,7576.000000,172.181818,414.778017,907,4631,527.000000,5.932693,1.662647,4.185902,2.372760,5.732612,2.155804,567.000000,0.626133,0.472794,0.548993,0.607072,0.203465,0.473478,0.174497,0.537316,0.170033,167.000000,0.503492,0.395657,0.212363,0.508834,0.079708,0.054807,0.044826,0.250389,441.000000,0.125120,0.110683,0.124158,0.068335,0.267565,0.098653,0.076035,0.047642,0.024543,1142.000000,0.326809,1.179334,0.381519,527.000000,5.932693,4.185902,5.732612,5.761233,1.183646,4.154725,0.887382,5.650133,0.851540,193.000000,0.503003,0.235736,0.261261,0.957291,0.390507,
3127,15.000000,183.000000,12.200000,7.893940,82,105,49.000000,6.021587,1.673651,4.058254,2.353016,5.667619,2.114127,52.000000,0.608136,0.465879,0.541530,0.584942,0.221422,0.479269,0.190017,0.547615,0.176040,15.000000,0.461000,0.328333,0.539000,0.530455,0.051222,0.054722,0.059889,0.324167,39.000000,0.153846,0.096154,0.153846,0.076923,0.250000,0.096154,0.038462,0.057692,0.038462,118.000000,0.323992,1.110086,0.400047,49.000000,6.021587,4.058254,5.667619,5.937347,1.155582,4.047959,0.894611,5.582653,0.919188,25.000000,0.548387,0.225806,0.225806,1.178325,1.183311,
2401,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.362199,-0.812527,
2297,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,0.940918,2.755091,
3035,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,0.427901,-0.697294,
858,2.000000,6.000000,3.000000,1.414214,9,10,6.000000,5.996667,1.801667,4.813333,2.350000,5.610000,2.168333,6.000000,0.492833,0.525333,0.498667,0.492833,0.227846,0.525333,0.237540,0.498667,0.075407,1.000000,0.000000,0.000000,0.000000,0.712000,0.000000,0.000000,0.000000,0.712000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,0.407917,1.183990,0.321214,6.000000,5.996667,4.813333,5.610000,5.996667,0.647662,4.813333,1.495362,5.610000,0.571874,2.000000,1.000000,0.000000,0.000000,-1.700572,1.842444,
659,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,0.373325,-0.923151,
156,1.000000,1.000000,1.000000,0.000000,8,8,2.000000,6.145000,1.530000,3.960000,2.250000,5.875000,1.950000,2.000000,0.549000,0.325500,0.423000,0.549000,0.216375,0.325500,0.079903,0.423000,0.057983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,-0.051000,0.457857,-0.051000,2.000000,6.145000,3.960000,5.875000,6.145000,0.544472,3.960000,0.551543,5.875000,0.332340,0.000000,0.000000,0.000000,0.000000,-1.749691,0.920579,
3065,7.000000,372.000000,53.142857,87.877621,196,300,104.000000,6.301111,1.617531,4.199630,2.402593,5.909074,2.100247,114.000000,0.648898,0.447222,0.536108,0.651228,0.178746,0.450061,0.179434,0.542175,0.162337,23.000000,0.156500,0.195500,0.085875,0.526296,0.015268,0.009537,0.016756,0.346585,73.000000,0.196721,0.139344,0.122951,0.065574,0.295082,0.057377,0.065574,0.008197,0.016393,254.000000,0.361197,1.124798,0.456236,104.000000,6.301111,4.199630,5.909074,6.190577,0.956457,4.002308,0.821332,5.891635,0.710386,36.000000,0.607843,0.254902,0.137255,0.373325,-0.923151,
173,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-0.639974,0.309076,
1154,3.000000,934.000000,311.333333,221.125153,189,574,95.000000,6.082811,1.728754,4.358541,2.427865,5.757900,2.192171,100.000000,0.638156,0.483069,0.534152,0.600420,0.217892,0.480040,0.176134,0.539650,0.162913,26.000000,0.539200,0.660222,0.392733,0.393179,0.031718,0.069906,0.069306,0.259035,55.000000,0.120690,0.051724,0.051724,0.086207,0.327586,0.129310,0.112069,0.077586,0.000000,252.000000,0.324504,1.218884,0.636668,95.000000,6.082811,4.358541,5.757900,5.841158,1.283540,4.294526,0.901389,5.652947,0.893888,23.000000,0.718310,0.112676,0.169014,0.373325,-0.923151,
1945,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.056572,0.736206,
2354,1.000000,21.000000,21.000000,0.000000,10,11,5.000000,5.906667,1.438333,3.791667,2.253333,6.175000,1.970000,6.000000,0.560000,0.450571,0.477429,0.550833,0.081504,0.430833,0.126850,0.476833,0.084726,1.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,6.000000,0.142857,0.142857,0.428571,0.142857,0.142857,0.000000,0.000000,0.000000,0.000000,10.000000,0.262400,0.580519,0.238667,5.000000,5.906667,3.791667,6.175000,5.926000,0.156301,3.798000,0.646351,6.230000,0.429127,1.000000,1.000000,0.000000,0.000000,-0.163341,-0.244043,
1096,176.000000,6512.000000,37.000000,83.642846,1042,4144,609.000000,5.914450,1.686453,4.199193,2.365449,5.681248,2.171240,667.000000,0.605834,0.479777,0.517621,0.602307,0.216990,0.482999,0.177007,0.531904,0.165606,209.000000,0.543650,0.496200,0.331634,0.516459,0.074961,0.086353,0.081244,0.228846,520.000000,0.125586,0.105263,0.108911,0.043773,0.217822,0.161542,0.085982,0.059406,0.038041,1408.000000,0.215853,1.261395,0.215737,609.000000,5.914450,4.199193,5.681248,5.747061,1.247880,4.157898,0.910441,5.606634,0.893346,251.000000,0.478122,0.183565,0.338314,-0.308878,-0.102691,
1527,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.040199,-0.065816,
2274,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.178325,1.183311,
3149,7.000000,1841.000000,263.000000,555.923556,718,1211,420.000000,5.553287,1.647139,4.193576,2.362050,5.498790,2.149890,471.000000,0.572901,0.473029,0.518518,0.571340,0.215260,0.459115,0.176447,0.524146,0.173793,153.000000,0.516923,0.608319,0.582226,0.425632,0.071489,0.155316,0.173429,0.131312,400.000000,0.074738,0.115097,0.107623,0.037369,0.176383,0.164425,0.116592,0.104634,0.044843,855.000000,0.243219,1.276697,0.253219,420.000000,5.553287,4.193576,5.498790,5.492667,1.206593,4.071143,0.852147,5.510690,0.899232,158.000000,0.351351,0.225225,0.423423,-0.674539,-0.084253,
1412,86.000000,1710.000000,19.883721,21.411607,403,933,264.000000,5.651712,1.653840,4.341024,2.361728,5.674288,2.078544,284.000000,0.569989,0.503264,0.510273,0.551475,0.239949,0.500127,0.188044,0.505176,0.175739,99.000000,0.338797,0.496957,0.372580,0.525537,0.088215,0.088140,0.097011,0.158653,252.000000,0.089783,0.102167,0.100619,0.077399,0.142415,0.164087,0.094427,0.061920,0.061920,619.000000,-0.080764,1.400488,0.002298,264.000000,5.651712,4.341024,5.674288,5.465189,1.414174,4.266856,0.938203,5.551780,0.945022,152.000000,0.352941,0.266254,0.380805,-0.805522,-0.022796,
1277,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526139,-1.628377,
2334,42.000000,2515.000000,59.880952,54.796387,605,1372,407.000000,5.938782,1.654698,4.116886,2.365981,5.643912,2.125140,435.000000,0.613838,0.447555,0.523243,0.600014,0.207768,0.458952,0.176155,0.527968,0.165265,118.000000,0.369694,0.427604,0.346667,0.535165,0.054770,0.093263,0.064198,0.240053,316.000000,0.124077,0.118168,0.152142,0.051699,0.239291,0.107829,0.050222,0.072378,0.031019,856.000000,0.248564,1.211614,0.328783,407.000000,5.938782,4.116886,5.643912,5.786486,1.151396,4.110885,0.913425,5.645405,0.829682,183.000000,0.505236,0.259162,0.235602,-0.914674,-0.227143,
3398,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,0.276907,0.272201,
10,17.000000,330.000000,19.411765,32.099569,125,161,82.000000,5.810792,1.586040,4.115644,2.304950,5.621287,2.115248,85.000000,0.604867,0.476095,0.529638,0.601059,0.205234,0.468400,0.169986,0.526671,0.154161,22.000000,0.544750,0.611000,0.441500,0.423000,0.090792,0.152750,0.147167,0.105750,57.000000,0.061538,0.138462,0.046154,0.061538,0.246154,0.169231,0.092308,0.092308,0.030769,173.000000,0.188948,1.027458,0.189620,82.000000,5.810792,4.115644,5.621287,5.749512,1.255512,4.108780,0.866201,5.586585,0.858331,39.000000,0.480000,0.260000,0.260000,0.682591,0.754644,
904,5.000000,47.000000,9.400000,9.071935,35,42,21.000000,6.226667,1.508333,4.553333,2.376667,6.113750,2.039167,21.000000,0.641625,0.511292,0.531500,0.658905,0.184487,0.533048,0.158943,0.547524,0.146399,9.000000,0.000000,0.258000,0.664000,0.679500,0.000000,0.103200,0.132800,0.271800,18.000000,0.150000,0.050000,0.250000,0.100000,0.150000,0.100000,0.050000,0.150000,0.000000,47.000000,0.238872,1.645087,0.179390,21.000000,6.226667,4.553333,6.113750,6.287619,1.403342,4.568095,1.016881,6.105238,0.750850,10.000000,0.700000,0.200000,0.100000,1.541257,1.704165,
558,181.000000,5760.000000,31.823204,109.304832,1157,3530,689.000000,5.934677,1.664974,4.173112,2.397533,5.695894,2.143915,751.000000,0.622983,0.469068,0.524102,0.588993,0.219716,0.469955,0.179982,0.523144,0.174912,239.000000,0.588604,0.473370,0.366472,0.507156,0.096222,0.096208,0.076641,0.215112,613.000000,0.105295,0.119735,0.123947,0.057762,0.208785,0.129362,0.075211,0.075812,0.039711,1557.000000,0.150942,1.208499,0.272816,689.000000,5.934677,4.173112,5.695894,5.622496,1.314601,4.175936,0.937118,5.576763,0.923525,291.000000,0.478210,0.232038,0.287397,0.815393,0.662457,
2042,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.071901,0.846830,
3218,10.000000,281.000000,28.100000,20.442059,140,168,79.000000,5.861368,1.615684,4.258632,2.394421,5.647474,2.051368,87.000000,0.612827,0.504981,0.555933,0.599391,0.231044,0.504759,0.198390,0.557540,0.161373,37.000000,0.671333,0.642500,0.464200,0.501100,0.147366,0.188049,0.113220,0.122220,98.000000,0.065421,0.056075,0.102804,0.121495,0.149533,0.149533,0.093458,0.112150,0.065421,197.000000,0.245320,1.355194,0.304274,79.000000,5.861368,4.258632,5.647474,5.727468,1.443596,4.218987,0.914183,5.595316,0.975458,41.000000,0.571429,0.183673,0.244898,-1.487725,-0.360813,
2543,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.765499,-1.018410,
2787,9.000000,283.000000,31.444444,45.155595,127,166,78.000000,6.000198,1.626436,4.128713,2.392871,5.694257,2.109307,85.000000,0.610019,0.442648,0.498472,0.612341,0.220755,0.463235,0.175304,0.502706,0.156369,34.000000,0.360182,0.358833,0.297250,0.497933,0.099050,0.053825,0.059450,0.186725,79.000000,0.120879,0.087912,0.065934,0.076923,0.186813,0.175824,0.076923,0.054945,0.032967,201.000000,0.437289,1.395394,0.411211,78.000000,6.000198,4.128713,5.694257,5.958974,1.334920,4.139744,0.794071,5.583846,0.866492,38.000000,0.510204,0.224490,0.265306,-1.935250,-0.655810,
1934,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,0.631653,-0.717267,
3295,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.935250,-0.655810,
1021,9.000000,891.000000,99.000000,261.035917,331,576,196.000000,5.803169,1.658142,4.281694,2.435383,5.584891,2.178415,212.000000,0.608943,0.478065,0.528956,0.590325,0.212587,0.492953,0.170213,0.534387,0.169049,62.000000,0.400500,0.600933,0.454952,0.562204,0.076286,0.085848,0.090990,0.262362,170.000000,0.135135,0.077703,0.104730,0.070946,0.263514,0.131757,0.067568,0.047297,0.033784,446.000000,0.280774,1.308767,0.431201,196.000000,5.803169,4.281694,5.584891,5.625510,1.266807,4.281531,0.907331,5.602194,0.889196,68.000000,0.500000,0.166667,0.333333,-1.487725,-0.360813,
